text,category,text_length,word_count
Partai politik menggelar kampanye akbar di Jakarta menurut sumber pemerintahan,Politik,78,10
Federasi olahraga mengumumkan program pembinaan atlet,Olahraga,53,6
Wakil presiden memberikan sambutan dalam acara resmi yang akan berdampak pada masyarakat,Politik,88,12
Dilaporkan bahwa mahkamah konstitusi memutuskan sengketa pilkada,Politik,64,7
"Dalam perkembangan terbaru, dpr akan membahas ruu baru dalam sidang mendatang",Politik,77,11
Partai politik menggelar kampanye akbar di Jakarta menurut sumber pemerintahan,Politik,78,10
Dilaporkan bahwa mahkamah konstitusi memutuskan sengketa pilkada,Politik,64,7
Wakil presiden memberikan sambutan dalam acara resmi yang akan berdampak pada masyarakat,Politik,88,12
Komisi anti korupsi menangkap pejabat tinggi negara menurut sumber pemerintahan,Politik,79,10
Pemain tenis putri Indonesia melaju ke babak semifinal,Olahraga,54,8
Partai politik menggelar kampanye akbar di Jakarta menurut sumber pemerintahan,Politik,78,10
Liga sepak bola domestik dimulai dengan antusiasme tinggi dalam kompetisi bergengsi,Olahraga,83,11
Dilaporkan bahwa mahkamah konstitusi memutuskan sengketa pilkada,Politik,64,7
Wakil presiden memberikan sambutan dalam acara resmi yang akan berdampak pada masyarakat,Politik,88,12
Dilaporkan bahwa menteri dalam negeri melakukan kunjungan kerja ke daerah,Politik,73,10
Platform e-commerce melakukan inovasi fitur pembayaran,Teknologi,54,6
Tim bulu tangkis bersiap menghadapi kompetisi internasional dan mendapat apresiasi publik,Olahraga,89,11
Dilaporkan bahwa menteri dalam negeri melakukan kunjungan kerja ke daerah,Politik,73,10
Pemain tenis putri Indonesia melaju ke babak semifinal,Olahraga,54,8
Tim sepak bola nasional berhasil mencetak gol kemenangan dalam kompetisi bergengsi,Olahraga,82,11
Pemerintah menetapkan anggaran belanja negara tahun depan,Politik,57,7
Tim bulu tangkis bersiap menghadapi kompetisi internasional dan mendapat apresiasi publik,Olahraga,89,11
Startup fintech Indonesia raih pendanaan besar yang revolusioner,Teknologi,64,8
Kabar gembira datang saat pertandingan tinju kelas berat digelar di jakarta,Olahraga,75,11
Presiden mengumumkan kebijakan baru untuk ekonomi nasional yang akan berdampak pada masyarakat,Politik,94,12
Badan pemeriksa keuangan audit anggaran kementerian,Politik,51,6
Presiden mengumumkan kebijakan baru untuk ekonomi nasional yang akan berdampak pada masyarakat,Politik,94,12
Presiden mengumumkan kebijakan baru untuk ekonomi nasional yang akan berdampak pada masyarakat,Politik,94,12
Pemerintah menetapkan anggaran belanja negara tahun depan,Politik,57,7
Pemerintah menetapkan anggaran belanja negara tahun depan,Politik,57,7
"Dalam perkembangan terbaru, dpr akan membahas ruu baru dalam sidang mendatang",Politik,77,11
Presiden mengumumkan kebijakan baru untuk ekonomi nasional yang akan berdampak pada masyarakat,Politik,94,12
"Dalam perkembangan terbaru, dpr akan membahas ruu baru dalam sidang mendatang",Politik,77,11
Prestasi gemilang dicapai ketika atlet renang pecahkan rekor nasional di kejuaraan,Olahraga,82,11
"Dalam perkembangan terbaru, dpr akan membahas ruu baru dalam sidang mendatang",Politik,77,11
Federasi olahraga mengumumkan program pembinaan atlet,Olahraga,53,6
"Dalam perkembangan terbaru, dpr akan membahas ruu baru dalam sidang mendatang",Politik,77,11
"Dalam perkembangan terbaru, gubernur melantik pejabat baru di lingkungan pemda",Politik,78,10
Terobosan baru hadir ketika perusahaan game lokal rilis permainan dengan grafis canggih,Teknologi,87,12
"Dalam perkembangan terbaru, dpr akan membahas ruu baru dalam sidang mendatang",Politik,77,11
Federasi olahraga mengumumkan program pembinaan atlet,Olahraga,53,6
Tim sepak bola nasional berhasil mencetak gol kemenangan dalam kompetisi bergengsi,Olahraga,82,11
Tim bulu tangkis bersiap menghadapi kompetisi internasional dan mendapat apresiasi publik,Olahraga,89,11
Kabar gembira datang saat pelatih tim voli mengumumkan skuad untuk kejuaraan dunia,Olahraga,82,12
"Dalam perkembangan terbaru, gubernur melantik pejabat baru di lingkungan pemda",Politik,78,10
Partai politik menggelar kampanye akbar di Jakarta menurut sumber pemerintahan,Politik,78,10
"Dalam perkembangan terbaru, gubernur melantik pejabat baru di lingkungan pemda",Politik,78,10
Dilaporkan bahwa mahkamah konstitusi memutuskan sengketa pilkada,Politik,64,7
Kemajuan signifikan tercapai saat inovasi teknologi hijau untuk mengurangi emisi karbon,Teknologi,87,11
Kemajuan signifikan tercapai saat inovasi teknologi hijau untuk mengurangi emisi karbon,Teknologi,87,11
Kemajuan signifikan tercapai saat robot pintar dikembangkan untuk membantu pekerjaan rumah,Teknologi,90,11
Badan pemeriksa keuangan audit anggaran kementerian,Politik,51,6
Kabar gembira datang saat pelatih tim voli mengumumkan skuad untuk kejuaraan dunia,Olahraga,82,12
